X,X.1,CHARACTER_ID,SCRIPT_ID,CHARACTER_NAME,ACTOR_NAME,PARTIAL_MATCH,GENDER,MISGENDER,CHARACTER_RACE,ACTOR_RACE,PART_WHITE,AGE,EXTRACTED_WORDS,POLYGRAPH_.WORDS,IMDB_ACTOR_HOMEPAGE,GOOGLE_IMAGE_SEARCH
506,8107,5927,2139,hanover,Wes Studi,n,m,,a,i,n,51,422,719,http://www.imdb.com/name/nm0836071/?ref_=ttfc_fc_cl_t5,https://www.google.com/search?q=Wes+Studi+actor&source=lnms&tbm=isch
507,58,4395,1727,amelia,Adriana Barraza,n,f,,l,l,n,50,780,2590,http://www.imdb.com/name/nm0056770/?ref_=ttfc_fc_cl_t61,https://www.google.com/search?q=Adriana+Barraza+actress&source=lnms&tbm=isch
508,210,13334,4392,anna,Alice Braga,n,f,,l,l,n,24,643,1011,http://www.imdb.com/name/nm0103797/?ref_=ttfc_fc_cl_t2,https://www.google.com/search?q=Alice+Braga+actress&source=lnms&tbm=isch
511,346,7979,2675,john berlin,Andy Garcia,n,m,,w,l,n,36,3134,10636,http://www.imdb.com/name/nm0000412/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Andy+Garcia+actor&source=lnms&tbm=isch
512,345,2915,1340,stanley locke,Andy Garcia,n,m,,l,l,n,50,1014,1437,http://www.imdb.com/name/nm0000412/?ref_=ttfc_fc_cl_t12,https://www.google.com/search?q=Andy+Garcia+actor&source=lnms&tbm=isch
513,344,13229,4354,john bubber,Andy Garcia,n,m,,w,l,n,36,738,1599,http://www.imdb.com/name/nm0000412/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Andy+Garcia+actor&source=lnms&tbm=isch
514,343,9389,3029,terry benedict,Andy Garcia,n,m,,w,l,n,45,691,2738,http://www.imdb.com/name/nm0000412/?ref_=ttfc_fc_cl_t30,https://www.google.com/search?q=Andy+Garcia+actor&source=lnms&tbm=isch
515,342,463,744,charlie vincent,Andy Garcia,n,m,,l,l,n,33,511,767,http://www.imdb.com/name/nm0000412/?ref_=ttfc_fc_cl_t2,https://www.google.com/search?q=Andy+Garcia+actor&source=lnms&tbm=isch
516,657,6507,2276,dr gonzo,Benicio Del Toro,n,m,,l,l,n,31,2321,7234,http://www.imdb.com/name/nm0001125/?ref_=ttfc_fc_cl_t2,https://www.google.com/search?q=Benicio+Del+Toro+actor&source=lnms&tbm=isch
517,656,3313,1423,javier rodrigue,Benicio Del Toro,y,m,,l,l,n,33,478,657,http://www.imdb.com/name/nm0001125/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Benicio+Del+Toro+actor&source=lnms&tbm=isch
